F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Label,Prob
-0.691,-0.692,0.881,-1.47,1.763,0.994,-0.992,-1.223,1.641,-0.585,-0.808,-0.484,1,0.815
-0.573,-1.493,0.86,0.437,-0.474,1.695,-0.4,-0.114,-0.324,-2.006,-1.141,-1.034,0,0.606
-0.473,-0.426,-1.318,-1.029,-2.27,-1.076,0.476,1.789,1.035,0.835,-0.5,0.025,1,0.797
-0.404,2.018,-1.327,0.569,-0.805,-1.766,1.718,1.328,0.151,0.786,-1.36,-2.75,0,0.203
-1.116,-2.497,0.236,2.053,1.788,1.197,-0.663,-2.754,1.388,0.497,1.19,-1.122,1,0.818
-0.492,0.675,0.177,-2.005,-0.224,0.605,0.125,-0.396,0.298,0.428,0.721,-1.021,0,0.531
1.744,0.958,0.613,1.761,1.614,0.496,4.553,-0.573,2.769,-1.49,1.154,0.662,1,0.935
-0.331,0.981,0.226,0.523,0.452,-1.657,-1.103,2.363,-2.478,0.862,0.402,0.751,0,0.180
-0.224,1.506,0.412,0.641,1.85,0.687,1.79,1.64,0.929,2.809,0.699,-0.746,1,0.919
0.565,-0.027,1.294,-1.471,0.399,-0.172,-1.182,0.365,0.807,-1.136,-2.193,0.56,0,0.435
0.064,-0.5,0.034,-0.636,-0.633,1.176,-0.16,1.234,1.342,-1.196,0.49,-1.828,1,0.791
-0.332,-0.01,1.527,1.334,-0.797,0.247,-1.731,-0.104,-1.978,1.089,0.957,-1.532,0,0.136
-0.908,0.361,-0.199,-1.647,-0.362,-0.753,-0.052,-0.25,0.281,-0.45,0.519,0.515,1,0.512
-2.736,-1.339,1.278,1.131,-0.866,1.145,0.159,-0.709,-0.601,1.315,-1.466,0.425,0,0.315
0.465,-0.261,-0.723,-0.168,1.689,-0.348,-0.614,-0.426,0.819,0.779,0.448,1.175,1,0.609
0.655,1.203,0.504,-2.511,-1.251,-0.357,2.558,-0.581,-2.477,0.255,-0.375,0.285,0,0.078
0.706,0.161,-0.811,0.944,-0.468,-0.098,-0.732,-0.297,-0.171,-1.657,-0.969,-1.771,1,0.180
-0.339,0.788,-2.006,0.426,-0.603,-1.394,-0.352,0.255,0.311,0.175,-0.477,0.791,0,0.165
-2.401,0.766,0.397,-0.087,-0.225,1.642,-1.855,-0.046,1.234,0.431,1.361,-0.495,1,0.759
0.118,2.356,1.435,-1.116,0.086,1.813,-3.73,-1.379,-0.819,-0.698,-1.448,-0.45,0,0.256
-2.3,0.191,-0.031,-0.769,2.566,0.446,0.514,0.569,1.068,-1.366,-0.658,0.634,1,0.687
-1.197,-0.334,0.336,1.352,0.828,-0.387,-0.559,0.604,-0.527,-0.639,1.047,-0.727,0,0.383
0.063,0.776,-1.436,-1.755,-1.538,0.017,-1.608,-1.054,-1.533,1.358,-1.42,-1.282,1,0.269
-1.718,1.826,-1.02,1.171,0.961,-1.645,-0.578,3.516,-0.515,-1.135,-0.783,1.334,0,0.227
-0.252,-1.6,0.8,0.906,1.254,1.155,-0.274,-0.368,0.682,0.431,-0.566,-0.845,1,0.825
2.415,-0.043,-0.259,-4.051,-0.22,-0.112,0.48,0.904,-0.536,0.988,3.941,0.421,0,0.112
-0.455,0.947,0.756,0.716,-1.0,-0.095,1.068,-1.208,0.046,0.29,-0.306,-1.667,1,0.309
1.473,-0.629,-0.637,0.589,-0.394,1.877,0.768,-0.532,1.412,0.452,0.056,-1.592,0,0.786
-0.956,-0.642,0.515,0.201,0.289,-0.306,3.117,-0.078,-2.346,-0.157,-0.866,2.094,1,0.605
-0.458,-0.111,0.792,-1.198,0.733,-0.999,-0.101,-0.045,2.126,0.885,-1.421,0.197,0,0.523
-0.141,-0.426,-1.462,2.543,0.08,-0.807,-2.654,0.951,1.482,1.468,-0.668,-0.006,1,0.796
-1.285,0.001,-2.056,0.586,-1.083,-1.025,0.494,0.677,0.264,1.052,-0.332,-0.54,0,0.480
0.408,-0.045,-2.065,-3.403,-1.002,-1.618,0.91,3.251,1.233,0.006,0.767,1.483,1,0.836
0.379,1.461,0.171,0.95,0.585,0.519,-1.022,-0.191,1.045,-0.63,-2.641,-0.536,0,0.555
1.083,-0.041,0.636,-0.081,-0.927,0.962,0.989,-1.272,0.782,2.477,1.036,2.098,1,0.666
-0.561,-0.563,-0.219,-1.691,0.336,-0.15,-0.055,-0.735,0.062,0.885,-1.021,0.692,0,0.608
-0.074,1.691,-1.11,1.928,-0.534,-0.52,-0.426,0.373,1.015,-0.56,-0.046,-2.884,1,0.211
-0.802,0.76,-0.903,-1.539,-0.486,0.75,-0.811,0.305,-0.744,-1.243,0.206,0.562,0,0.399
-0.068,-0.769,0.948,0.206,-0.233,0.149,-1.159,-2.382,-1.14,1.177,0.366,-2.08,1,0.352
0.404,-1.433,0.071,0.199,1.226,-1.053,0.82,0.146,-0.841,-0.801,-1.413,0.287,0,0.626
0.374,-0.649,1.963,-0.423,2.008,0.845,0.746,1.777,1.022,1.399,-0.949,-2.061,1,0.945
-3.229,-1.11,0.683,-0.978,-2.247,-1.559,0.714,0.952,-0.988,-0.891,-0.078,0.595,0,0.430
-2.77,0.438,0.062,0.16,-2.461,-1.725,-0.859,-2.231,-0.128,0.609,-1.796,-1.581,1,0.313
-1.316,-0.337,-0.361,0.862,-1.441,0.928,-0.781,1.193,-0.269,-0.557,0.222,1.061,0,0.393
-0.925,-1.044,0.146,-0.601,2.49,0.69,-1.855,0.638,1.497,-0.582,-0.449,-1.547,1,0.872
2.619,-0.825,0.497,-0.69,0.275,-0.907,-0.418,0.212,-1.667,1.492,1.582,-0.817,0,0.106
-2.044,-1.213,0.745,-0.072,0.756,0.336,0.819,-0.937,1.847,-1.887,-1.488,0.67,1,0.752
1.178,0.055,-2.754,-0.235,-1.383,-0.557,-0.471,2.96,-0.22,-1.435,-1.057,-1.624,0,0.352
-2.146,1.459,1.059,0.166,-0.42,-1.955,2.759,-1.659,0.423,-1.27,-2.744,0.591,1,0.920
-1.562,0.771,-0.487,0.304,-1.049,-0.85,1.212,1.183,0.172,0.179,-0.496,-0.198,0,0.359
1.228,-1.272,-1.057,1.281,-0.587,0.598,-0.159,0.97,0.938,0.165,-0.487,1.474,1,0.716
0.21,0.301,-2.362,1.042,-0.465,1.922,-1.089,-0.44,0.407,0.503,1.613,0.808,0,0.165
0.844,-0.893,-0.935,-1.327,0.31,-0.31,0.691,-0.565,-1.258,1.293,1.968,-0.035,1,0.467
-0.883,0.371,0.763,-2.007,-0.063,0.484,0.105,0.117,2.147,-2.297,-0.443,1.304,0,0.705
-0.491,-0.138,0.622,1.106,-1.012,0.169,-0.462,-0.036,1.381,0.367,1.451,-1.699,1,0.502
1.026,-0.678,-1.515,0.685,-1.414,0.196,2.836,-0.938,-2.066,0.611,-3.215,-0.377,0,0.121
1.169,0.689,-0.618,2.248,-1.323,0.344,0.994,1.704,-0.013,-0.438,-0.187,-0.669,1,0.356
-0.456,-0.07,1.289,0.842,-1.897,-0.725,-0.721,0.917,-0.121,-1.445,1.323,0.966,0,0.328
-0.192,-2.772,0.05,-0.978,0.295,0.522,-1.285,-2.594,0.697,-0.148,0.95,1.675,1,0.938
-0.389,-1.655,1.662,-1.052,0.56,0.438,0.357,-0.796,0.661,0.714,0.9,-1.097,0,0.777
-1.01,-0.529,1.995,0.774,0.719,0.809,-0.67,-0.732,-0.684,0.938,-2.561,-1.836,1,0.513
0.418,2.39,-1.298,-0.16,-1.627,0.819,0.086,-0.049,-0.46,-1.082,1.656,-0.535,0,0.201
-0.95,0.476,-2.891,-1.409,1.852,0.121,-1.485,-0.336,0.313,1.35,-3.291,-1.68,1,0.857
-0.6,0.645,-0.778,0.472,1.308,2.132,1.873,1.257,1.415,-1.289,-0.957,2.193,0,0.364
0.049,1.778,1.337,0.817,-0.126,0.741,-1.004,-1.526,0.509,0.491,-1.788,0.149,1,0.397
2.699,1.866,-0.245,1.139,1.291,-0.544,0.622,0.491,-0.827,0.459,1.519,-0.636,0,0.144
-0.832,0.39,1.891,0.074,-0.385,0.533,0.939,-1.662,2.02,-0.196,0.063,-0.133,1,0.596
0.409,0.487,-0.355,-0.255,1.223,0.578,-0.47,-0.703,-0.555,-0.38,-0.995,-0.526,0,0.277
-0.733,1.028,-0.515,0.041,-1.193,1.736,1.805,-2.102,-0.189,0.324,0.584,0.723,1,0.627
0.467,0.797,-0.028,-2.002,0.452,0.479,-1.443,0.874,1.07,0.772,0.281,-1.003,0,0.569
0.735,-0.599,0.37,-1.037,-0.456,2.641,-3.861,0.907,1.207,0.035,-1.411,-0.44,1,0.727
-1.199,-0.101,1.857,-0.601,-1.04,-1.892,-0.784,1.13,-1.6,1.294,-1.636,-2.595,0,0.408
-0.66,-0.7,0.774,2.239,-0.55,0.003,1.205,1.87,0.013,-2.059,1.923,0.26,1,0.810
-0.001,-0.594,0.288,0.074,0.42,0.455,-1.118,-0.777,2.22,-0.376,-1.973,0.234,0,0.556
-0.253,-1.018,-0.63,1.004,0.073,0.248,0.566,1.76,0.246,-0.974,0.37,-0.285,1,0.825
0.042,-0.666,1.466,0.177,0.739,-0.086,0.866,-1.197,-1.398,0.066,-0.956,-0.573,0,0.155
-0.193,-0.155,-1.608,-1.463,-2.445,-0.489,0.068,0.37,-2.409,-1.641,-1.019,-0.896,1,0.489
-1.059,0.35,-2.082,-1.578,-1.059,-1.272,-0.046,-1.625,0.032,-1.185,0.329,1.691,0,0.491
-0.382,-1.881,-0.56,-0.444,-0.098,2.064,-0.306,2.877,-0.088,-0.654,0.913,-0.697,1,0.882
-1.167,-1.217,-0.208,-0.029,-0.357,-1.56,-1.216,-1.096,1.224,0.106,1.837,0.369,0,0.743
-0.403,-0.014,1.048,-2.871,0.973,0.098,-0.726,-0.025,0.668,1.157,-0.313,-0.96,1,0.643
-1.387,-0.591,-0.539,1.523,-1.137,0.665,0.936,-0.268,-0.307,-1.003,1.399,0.113,0,0.445
-0.621,1.479,-0.244,-1.776,-0.366,-1.161,0.2,-0.864,0.785,0.184,-1.926,-1.841,1,0.526
-1.219,0.833,-0.923,-0.458,0.943,-0.556,0.347,-0.961,-0.852,-0.119,-1.022,-0.144,0,0.314
-0.552,1.611,-0.085,1.827,-0.155,1.551,0.566,-1.663,1.087,-1.407,0.002,-2.251,1,0.699
0.553,-2.757,0.692,3.255,0.481,0.468,1.645,0.069,0.096,1.092,1.861,-0.286,0,0.811
-1.512,-1.365,1.033,0.071,-0.344,0.801,0.984,-1.118,1.055,-0.7,0.223,1.731,1,0.788
0.584,-0.414,-0.122,-0.945,-0.571,-1.536,-1.288,-2.029,-3.456,0.548,0.419,-0.138,0,0.132
-0.511,-0.791,-0.198,-0.925,1.166,-0.284,0.357,0.609,1.343,-0.137,0.995,1.938,1,0.718
-1.002,0.243,-1.321,-1.631,0.525,1.11,0.251,0.759,-0.096,0.423,-1.309,1.025,0,0.320
0.139,-0.326,-0.935,-1.387,-0.565,0.884,-1.223,1.642,1.289,-0.003,-1.403,-1.16,1,0.709
-1.885,1.405,-0.139,1.77,-0.185,2.031,-0.252,0.227,-1.685,0.92,-0.236,-1.069,0,0.175
-1.228,-1.229,-0.415,-1.282,0.216,0.068,-1.2,-3.569,-1.055,-0.267,-0.236,-0.387,1,0.842
-0.74,-0.981,1.234,0.987,-1.529,0.834,0.344,-0.236,0.79,0.583,-1.143,0.365,0,0.409
-2.08,0.249,0.962,-0.044,0.269,2.097,-1.579,-0.508,0.942,2.599,1.765,0.097,1,0.840
1.0,0.074,-1.298,-1.077,1.098,0.764,0.383,-0.289,-0.92,0.974,-0.108,-0.034,0,0.293
1.467,1.214,-0.53,2.28,0.63,0.063,-1.685,0.161,2.582,0.073,0.226,1.281,1,0.504
0.628,0.539,-0.74,1.303,-0.228,-0.711,-0.92,-0.302,0.541,2.43,1.465,1.11,0,0.522
-0.258,0.547,0.406,-1.308,-0.367,0.666,-0.312,-0.369,-0.545,-0.417,0.517,-2.59,1,0.482
-0.2,-0.67,0.88,-0.209,1.322,0.303,-0.888,-1.55,0.334,0.485,-0.945,-0.597,0,0.666
-1.053,1.199,1.075,-1.464,0.504,-0.053,0.529,-0.405,0.065,-2.995,-0.022,0.729,1,0.763
-1.063,0.786,0.108,0.006,-0.52,-0.642,2.326,0.423,-0.335,0.038,-0.294,0.179,0,0.452
-0.696,0.07,-5.363,-1.251,-2.354,-0.746,0.141,1.093,-0.563,2.49,0.101,-0.411,1,0.988
-0.479,0.973,-0.346,0.642,0.475,-0.602,-0.323,-2.623,0.259,-0.077,-0.267,0.689,0,0.443
-0.602,-0.164,1.441,1.131,1.141,0.805,-0.766,-0.21,0.576,0.27,0.351,-2.781,1,0.810
0.567,-0.355,-0.996,0.828,0.565,-0.303,0.456,0.797,-0.154,0.445,2.68,-0.962,0,0.253
0.669,-0.018,1.143,1.137,-0.831,0.08,1.424,-1.794,2.131,-2.133,0.087,0.576,1,0.761
1.006,0.28,-0.032,-0.193,0.297,0.23,0.333,1.315,-1.882,0.017,0.306,0.951,0,0.333
-1.285,0.519,-0.534,-1.362,0.399,-1.685,0.216,-2.036,-0.284,-0.766,-2.845,-0.174,1,0.757
-0.617,-0.571,0.69,0.129,0.827,-0.946,0.38,0.799,1.4,0.268,-0.459,1.199,0,0.506
0.502,-0.774,-0.584,0.13,0.328,0.695,-4.255,-0.311,0.501,3.4,-0.165,-0.954,1,0.962
-0.582,0.295,-1.875,1.25,-1.085,-0.863,0.549,-0.05,-1.943,0.078,-2.706,-0.065,0,0.168
-0.264,-0.317,-1.964,-1.986,-1.042,-0.995,0.844,2.457,0.553,-2.354,1.404,-0.816,1,0.888
-2.175,0.885,-0.565,-0.205,0.09,0.816,-0.838,-1.572,-0.614,-0.83,-1.088,0.724,0,0.426
-0.872,-1.024,-0.487,0.579,0.044,0.132,0.321,1.803,-0.287,0.099,-0.335,-0.049,1,0.714
-0.398,1.57,1.488,-1.26,-1.269,-0.177,0.59,-1.35,-1.721,0.266,-0.244,-0.4,0,0.184
0.937,1.56,-0.063,0.327,-0.531,0.924,0.428,0.441,0.937,-1.218,-1.396,0.95,1,0.658
1.034,-0.268,-1.642,-0.201,-1.251,1.674,-0.158,-0.092,0.025,0.233,0.046,0.898,0,0.369
-2.447,-2.007,-1.783,-1.844,0.168,0.591,-0.795,-1.296,-0.397,0.41,0.869,-1.927,1,0.723
-1.993,-0.427,0.432,-0.034,-0.101,1.838,0.336,-1.194,-0.129,-0.227,0.599,-1.841,0,0.659
0.452,2.031,0.916,-0.762,1.984,-0.108,1.454,-0.268,0.713,1.636,-0.65,-0.636,1,0.434
-0.225,-0.259,0.644,-1.134,-0.863,-0.694,0.945,0.594,-0.961,-1.678,1.412,0.28,0,0.485
-0.035,-0.145,-1.929,-0.31,-0.245,-0.55,-0.299,0.035,1.082,-1.385,-2.359,-0.498,1,0.581
-0.289,0.243,-0.795,0.035,1.854,0.865,1.103,-0.031,0.789,-0.666,-1.302,0.437,0,0.384
-0.152,0.361,1.824,0.677,-0.704,0.841,-2.106,0.352,-0.445,0.581,0.385,-0.326,1,0.306
2.156,-0.802,0.94,3.515,1.827,-0.693,-0.064,0.756,-1.015,0.538,0.651,-1.8,0,0.223
0.768,-0.096,-1.182,0.8,-0.008,1.964,-0.196,-1.568,1.131,-0.962,-2.698,1.083,1,0.346
0.051,-0.075,-0.67,1.736,1.282,-0.093,0.95,-2.171,-0.594,0.445,0.325,-2.007,0,0.270
-0.808,0.251,-0.525,-0.535,0.471,-0.008,0.742,-0.283,-1.407,-1.297,-1.203,1.35,1,0.483
0.538,-0.183,-1.659,-0.756,0.263,-1.022,-2.046,1.574,0.963,-0.377,0.093,0.266,0,0.650
0.593,-0.396,0.221,0.358,2.077,-0.152,2.309,0.879,0.323,3.633,-0.89,0.531,1,0.957
-0.821,-0.449,-0.84,-0.17,0.152,-2.837,0.717,-0.146,-2.81,0.18,-0.514,-0.476,0,0.096
1.2,-0.275,0.347,0.646,-0.362,-0.615,0.157,2.436,0.058,0.745,0.571,1.048,1,0.599
0.856,0.129,0.928,2.416,-1.452,0.373,-0.269,-0.362,1.411,-0.875,0.031,1.382,0,0.511
-1.132,-1.076,0.788,1.356,-1.892,-2.022,0.748,1.596,0.021,-0.468,0.86,0.158,1,0.676
-0.493,0.091,-0.338,-1.177,2.038,-1.001,1.284,-1.047,-1.234,0.098,0.043,-1.315,0,0.242
1.112,-0.532,0.091,-1.134,-0.863,-0.57,-1.0,-0.417,0.643,-1.361,-0.181,1.999,1,0.626
1.681,1.052,-0.859,1.32,-0.944,2.424,-0.326,-3.064,-0.793,-0.513,1.084,0.698,0,0.168
-0.309,-1.179,-0.665,0.299,0.168,0.185,-0.941,-0.291,-1.074,1.306,-0.022,0.683,1,0.629
-1.038,0.545,1.104,-0.732,2.064,-0.474,-0.238,0.078,-0.552,-1.643,-0.238,-0.671,0,0.558
0.523,0.808,0.19,-1.644,0.425,0.076,0.664,-1.121,1.428,1.412,-0.223,-0.875,1,0.606
-1.866,2.342,0.02,1.828,-0.909,-1.045,2.387,2.609,-1.062,-1.234,-2.496,-1.087,0,0.332
-1.318,-0.643,0.67,0.075,-0.438,-0.419,0.236,-2.362,-0.066,-0.409,-1.543,-1.305,1,0.553
-0.845,1.549,-0.664,0.056,0.636,0.684,0.575,-1.308,1.806,-2.215,0.335,-2.171,0,0.650
0.594,-0.812,0.242,-0.467,-0.804,0.042,-0.386,-1.235,2.542,-0.705,-0.847,0.688,1,0.551
-0.187,-1.61,0.998,-0.07,-0.674,-0.653,0.009,-0.379,-0.587,1.59,1.283,-0.907,0,0.674
1.868,-2.954,0.374,-0.486,1.184,-0.353,1.058,-0.717,-0.21,-0.439,-0.045,2.001,1,0.807
1.122,-1.577,-0.179,-0.672,-1.704,-1.019,-1.37,1.628,-1.012,-1.147,-1.514,-0.868,0,0.222
-1.435,-0.305,0.751,-0.396,-0.584,-1.645,1.376,-1.11,1.249,1.478,-0.266,0.499,1,0.795
0.539,0.331,1.148,-0.641,0.016,3.52,-0.586,0.659,0.964,-2.116,-1.438,-3.269,0,0.631
-0.5,-0.748,-0.057,-0.039,-1.229,-1.626,-0.168,0.347,0.16,3.553,0.885,-2.005,1,0.939
-2.218,-0.042,0.752,-0.543,-1.812,-1.579,-1.599,0.668,0.461,0.118,0.671,-1.192,0,0.573
1.128,-0.091,-2.047,-0.368,-0.898,-0.449,-0.802,-1.602,-0.176,2.633,1.205,0.818,1,0.908
0.147,-2.116,1.985,0.721,0.257,-0.229,-0.566,-0.876,1.205,0.679,-0.998,-0.438,0,0.606
-1.566,-0.186,0.218,-0.217,-0.913,-1.086,0.457,0.243,0.621,-2.126,-0.313,0.726,1,0.597
0.543,0.501,0.859,-0.828,-1.028,0.911,0.449,-1.141,-1.284,0.63,-0.578,-1.431,0,0.193
-0.131,-0.124,0.2,0.227,0.756,0.166,-0.345,-0.161,1.582,-0.905,0.043,1.57,1,0.558
-0.019,0.136,-0.907,-0.186,-0.96,-0.153,-0.352,0.034,-0.437,-0.439,-0.046,0.448,0,0.260
-1.381,0.72,0.215,-0.835,1.098,1.857,-1.354,4.228,-2.093,-1.601,0.55,0.494,1,0.829
-0.657,-1.21,1.673,0.086,0.952,-0.593,-0.597,-0.199,-0.773,-0.413,-0.995,-0.161,0,0.253
-1.037,2.084,0.234,-1.808,1.412,-0.574,0.961,0.227,1.145,1.469,0.467,-2.228,1,0.809
-2.734,2.665,0.716,-0.278,-1.479,-0.205,-0.972,1.169,-0.64,-0.127,-0.184,-1.568,0,0.345
0.571,-0.48,-2.672,-0.939,-1.326,-0.577,-1.434,0.423,1.468,0.439,0.04,-0.494,1,0.731
-0.463,0.158,-1.007,0.404,0.671,1.11,1.345,0.327,0.102,-0.773,-1.75,-1.08,0,0.442
-0.834,-2.125,0.45,1.332,1.21,0.505,-0.914,-1.583,1.364,-0.297,0.533,-0.038,1,0.894
1.559,-0.334,0.12,-1.113,0.404,-0.258,0.038,-0.825,-1.688,-0.719,0.65,-0.862,0,0.143
0.557,-1.243,1.099,0.523,1.437,0.108,-1.004,-0.861,1.46,0.169,0.379,0.059,1,0.763
0.569,0.815,-0.143,-0.896,-3.946,1.225,-1.735,0.942,0.208,-0.186,1.656,-0.636,0,0.208
-1.796,-0.26,0.24,-1.45,-0.849,1.292,-0.822,1.667,-1.188,-0.4,-0.507,1.057,1,0.530
0.357,-0.19,0.256,-0.99,0.296,-1.016,2.333,0.858,-0.135,0.662,-1.097,1.088,0,0.588
1.085,-0.407,-1.312,-1.023,-0.591,0.986,-0.611,1.716,-0.604,2.335,-1.544,0.23,1,0.837
0.669,0.746,-0.28,2.075,-0.673,-0.369,-1.127,2.357,-0.097,1.899,-0.18,-1.983,0,0.420
1.314,-1.658,-2.305,-2.344,0.205,-1.205,0.333,-1.193,-1.222,-2.106,1.1,1.013,1,0.886
-0.552,0.159,0.016,-0.543,1.219,-0.395,-0.842,-0.504,0.448,-0.177,-0.892,0.88,0,0.413
0.704,-1.178,0.449,-0.61,-0.407,1.07,2.321,1.639,0.14,-1.073,0.08,2.025,1,0.886
-0.418,0.052,1.166,-2.044,2.343,-0.363,0.771,-0.565,-0.768,-0.044,-0.842,1.267,0,0.321
1.519,1.048,-0.483,1.595,0.444,1.452,-1.4,1.242,-0.768,-1.012,-1.093,1.523,1,0.455
-0.082,0.566,-0.815,0.568,-0.255,-0.786,-0.864,-0.63,-0.817,-1.668,-0.566,0.505,0,0.249
-0.878,1.608,-1.159,-0.014,-0.731,-0.204,-1.546,-0.843,0.066,0.59,1.212,0.354,1,0.238
-0.577,0.876,0.685,-0.681,1.545,-1.067,1.469,-2.435,0.484,-0.582,1.188,0.568,0,0.759
-0.902,-1.095,1.004,-1.395,-1.09,-0.104,0.283,0.467,1.61,1.1,-1.196,-1.302,1,0.677
-1.963,-0.474,-0.071,-0.266,1.0,0.514,0.043,0.135,0.36,-0.473,2.063,-0.581,0,0.703
-0.367,0.369,-1.846,-0.099,0.564,-0.031,-1.506,-2.563,1.69,2.473,-0.028,-1.186,1,0.921
-0.355,1.824,-0.012,0.69,0.603,0.502,-0.164,-0.209,0.283,0.142,-0.911,0.17,0,0.410
-0.164,-1.164,1.565,0.143,-0.782,0.184,-1.025,1.988,0.736,-0.841,0.363,-0.534,1,0.725
1.603,-0.024,1.09,0.28,0.703,-0.404,0.683,0.568,-1.707,1.21,3.823,0.069,0,0.057
-0.2,0.694,0.685,0.114,-0.761,0.71,-0.303,-0.2,-0.48,0.061,-1.204,1.858,1,0.364
-0.132,-0.095,-0.653,0.279,0.638,0.617,0.062,0.117,-2.76,-1.978,-1.966,-1.894,0,0.520
-0.564,1.688,0.531,0.128,0.295,0.068,0.957,-3.219,-0.068,0.74,-1.526,1.06,1,0.644
-0.664,1.051,0.277,-1.711,0.724,1.064,1.123,0.257,0.571,1.263,0.184,-0.86,0,0.658
-0.497,0.222,-1.316,0.257,0.502,2.019,0.319,1.392,1.161,-1.176,-1.328,0.496,1,0.179
0.03,-0.004,-0.878,0.236,-2.066,-2.374,-2.42,-0.687,-0.581,1.001,-2.304,-0.791,0,0.283
0.154,-2.299,-1.144,-1.038,-0.012,-0.611,0.205,2.164,-0.044,2.044,-0.482,1.128,1,0.944
-1.362,-0.591,0.116,1.279,0.025,0.633,0.459,-1.419,-1.028,0.197,-1.78,0.253,0,0.420
-0.028,-0.1,0.357,2.108,-0.737,-0.147,0.433,0.605,0.451,1.497,0.145,1.254,1,0.530
-0.655,0.485,1.969,-0.973,-1.322,-0.699,0.196,-0.582,-1.21,-0.406,1.039,-1.986,0,0.212
1.64,0.343,-0.439,2.98,-1.692,-0.81,-1.526,-0.948,-0.237,-0.661,-1.352,-2.418,1,0.277
0.438,0.544,-1.364,0.645,-0.849,-0.176,-0.289,-0.446,-0.481,1.824,-0.239,0.456,0,0.263
0.91,-0.526,0.021,-0.373,0.018,0.335,-0.768,-0.666,-1.116,-1.559,0.792,-1.247,1,0.346
-0.731,-0.653,-0.336,0.265,1.264,1.349,-2.007,0.582,-1.042,-0.351,2.548,0.601,0,0.748
-3.472,1.016,1.598,0.863,0.084,0.388,0.163,0.048,-0.761,-4.495,-0.441,1.994,1,0.299
1.106,-0.448,1.462,1.353,-2.1,-0.395,-0.586,0.251,-0.233,-1.926,1.879,-0.687,0,0.145
-0.796,0.123,-0.054,-0.215,-0.628,-0.42,-0.004,-0.349,-0.626,1.508,0.688,-1.115,1,0.452
-0.498,1.534,-1.075,0.247,2.484,0.684,0.154,0.297,2.4,-1.242,-0.531,-2.324,0,0.494
-1.696,0.424,0.535,1.231,0.836,0.793,-0.857,1.208,1.355,0.626,-1.191,0.122,1,0.544
2.584,2.612,0.013,2.111,-1.49,-0.01,-1.399,0.173,0.938,0.825,-0.043,-0.063,0,0.198
0.929,0.055,0.913,0.387,-0.953,1.584,1.52,-0.792,-0.727,0.203,0.115,0.431,1,0.370
-0.358,-0.193,2.953,0.67,-2.513,-0.341,0.604,0.193,-2.238,-0.741,-0.79,-1.739,0,0.057
-0.959,0.217,0.047,0.016,-1.158,0.95,-1.78,-2.18,0.393,0.826,2.732,0.874,1,0.738
0.19,0.186,0.533,-0.235,-0.103,-1.056,0.343,0.063,0.542,0.199,-2.375,-1.275,0,0.496
1.633,0.177,-0.216,-2.239,-2.13,-0.035,-0.732,0.312,0.266,2.167,-0.437,-0.895,1,0.491
-0.158,-0.705,-0.647,0.314,-1.108,-0.512,0.111,0.231,-1.419,-0.185,-0.567,-1.056,0,0.133
1.329,-1.688,-1.517,0.748,-0.901,1.323,-0.405,0.251,-0.159,0.301,1.198,1.847,1,0.723
-2.675,-0.357,0.095,0.746,-0.436,1.306,-0.545,-0.943,0.167,-2.002,-0.721,-0.075,0,0.500
-3.07,-0.686,1.421,0.799,0.365,0.005,-1.394,0.428,-0.254,0.696,0.259,-1.195,1,0.512
0.401,-0.759,1.15,-0.199,1.249,0.374,0.384,-0.283,0.168,-0.231,-1.214,0.931,0,0.525
0.558,0.111,0.559,1.712,0.236,-0.031,-0.468,-1.007,-0.141,-1.432,-1.088,-0.556,1,0.388
0.101,0.052,0.193,2.051,-0.742,0.304,-0.588,-0.415,0.049,-1.784,1.433,1.585,0,0.468
-1.645,-1.612,-0.51,-0.425,-0.557,0.542,-1.396,0.727,0.771,-0.393,0.592,-0.908,1,0.872
-0.262,-0.779,-0.779,0.42,-0.277,1.653,-1.798,-1.238,0.763,-1.042,-0.175,0.554,0,0.734
-1.303,1.145,0.827,-0.757,3.724,-0.427,0.158,0.391,0.915,-1.063,-2.385,-2.216,1,0.813
-3.396,1.102,-1.122,0.323,0.702,-1.326,-0.48,0.098,-1.063,-0.044,-0.532,-0.804,0,0.057
-0.526,-0.348,0.708,-0.513,-1.755,-0.936,-0.98,-0.629,0.178,1.114,0.462,-1.239,1,0.458
-0.463,1.182,-1.127,-0.256,0.053,1.864,1.663,-0.936,2.329,0.37,-1.292,1.135,0,0.260
-0.081,-0.099,0.636,-0.248,1.115,0.49,0.55,-1.198,2.429,0.444,-0.536,0.099,1,0.630
2.281,0.649,0.29,-2.97,-1.043,0.069,-0.237,0.054,1.078,-0.505,1.276,-1.58,0,0.379
-1.766,-1.57,-0.188,1.156,0.999,-0.001,0.234,0.431,0.458,-0.23,-0.485,-0.355,1,0.778
-0.416,0.127,-2.278,0.315,-0.688,-0.571,-1.13,0.67,-1.672,-0.117,-1.705,-0.321,0,0.087
-0.07,0.354,0.168,-0.155,-1.13,-0.603,2.288,0.993,1.167,-1.951,-0.643,-1.852,1,0.810
-0.719,0.586,-1.351,-0.981,-0.502,-0.931,-0.509,0.431,0.461,-0.153,-0.225,-0.765,0,0.384
0.77,-0.72,-0.381,-3.707,-0.166,2.74,1.345,-0.333,0.085,0.835,0.028,-0.77,1,0.807
